Neighborhood,Population (2010),NPU
Adair Park,1331,V
Adams Park,1763,R
Adamsville,2403,H
Almond Park,1020,G
Ansley Park,2277,E
Ardmore,756,E
Argonne Forest,590,C
Arlington Estates,776,P
Ashview Heights,1292,T
Atlanta University Center,5703,T
Atlantic Station,1888,E
Audubon Forest,813,I
Baker Hills,757,H
Bankhead,1929,K
Beecher Hills,647,O
Ben Hill,1725,P
Ben Hill Terrace,937,P
Benteen Park,893,W
Berkeley Park,1400,D
Betmar LaVilla,578,Y
Bolton,2996,D
Boulevard Heights,675,W
Brandon,943,C
Brookhaven,2358,B
Brookwood,1834,E
Brookwood Hills,2103,E
Browns Mill Park,2170,Z
Buckhead Forest,2252,B
Buckhead Village,1343,B
Cabbagetown,1247,N
Campbellton Road,4709,R
Candler Park,3291,N
Capitol Gateway,823,V
Capitol View,1965,X
Capitol View Manor,664,X
Carey Park,1739,G
Carroll Heights,1173,H
Carver Hills,681,G
Cascade Avenue/Road,2416,S
Cascade Heights,1124,I
Castleberry Hill,1285,M
Castlewood,741,C
Center Hill,3058,J
Chastain Park,2398,A
Chosewood Park,3790,Y
Custer/McDonough/Guice,1257,W
Collier Heights,5593,I
Collier Hills,630,C
Cross Creek,2041,C
Deerwood,566,P
Dixie Hills,1756,J
Downtown,13411,M
Druid Hills,1414,N
East Atlanta,5033,W
East Chastain Park,2065,B
East Lake,2568,O
Edgewood,3983,O
English Avenue,3309,L
Fairburn Heights,1138,H
Fairburn Mays,3144,H
Fairway Acres,513,P
Florida Heights,1242,I
Fort McPherson,501,S
Garden Hills,3939,B
Georgia Tech,6607,E
Glenrose Heights,4071,Z
Grant Park,6771,W
Greenbriar,3628,R
Grove Park,4929,J
Hammond Park,2565,X
Harland Terrace,2138,I
Harris Chiles,765,T
Heritage Valley,910,P
Hills Park,953,D
Home Park,4941,E
Hunter Hills,2223,K
Inman Park,4098,N
Joyland,639,Y
Kings Forest,1674,P
Kingswood,660,A
Kirkwood,5897,O
Knight Park/Howell Station,2545,K
Lake Claire,2557,N
Lakewood,1333,Z
Lakewood Heights,2177,Y
Leila Valley,847,Z
Lenox,1663,B
Lincoln Homes,590,G
Lindbergh,4598,B
Lindridge/Martin Manor,4221,F
Loring Heights,1774,E
Margaret Mitchell,1207,A
Marietta Street Artery,745,E
Mays,790,H
Mechanicsville,3731,V
Midtown,16569,E
Midwest Cascade,1786,Q
Monroe Heights,903,G
Morningside/Lenox Park,8030,F
Mozley Park,1714,K
Mt. Paran/Northside,1568,A
North Buckhead,8270,B
Norwood Manor,871,Z
Oakland City,3442,S
Old Fourth Ward,10505,M
Old Gordon,761,H
Orchard Knob,673,Z
Ormewood Park,4050,W
Paces,2623,A
Peachtree Battle Alliance,1540,C
Peachtree Heights East,1081,B
Peachtree Heights West,4767,B
Peachtree Hills,2785,B
Peachtree Park,1316,B
Penelope Neighbors,559,J
Peoplestown,2612,V
Perkerson,2347,X
Peyton Forest,817,I
Piedmont Heights,2323,F
Pine Hills,8033,B
Pittsburgh,3658,V
Polar Rock,991,Z
Pamond Park,556,R
Poncey-Highland,2133,N
Princeton Lakes,2429,P
Reynoldstown,2550,N
Ridgedale Park,1685,B
Ridgewood Heights,601,C
Riverside,1341,D
Rockdale,611,G
Rosedale Heights,844,Z
Scotts Crossing,1164,G
South Atlanta,1738,Y
South River Gardens,2279,Z
South Tuxedo Park,1085,B
Southwest,4158,R
Springlake,1031,C
Summerhill,2025,V
Swallow Circle/Baywood,577,Z
Sweet Auburn,1882,M
Sylvan Hills,4669,X
Thomasville Heights,2739,Z
Tuxedo Park,1182,A
Underwood Hills,3410,D
Venetian Hills,3790,S
The Villages at Carver,1039,Y
The Villages at Castleberry Hill,864,T
The Villages at East Lake,1460,O
Vine City,2785,L
Virginia-Highland,7800,F
Washington Park,1124,K
West End,4270,T
West Highlands,1164,G
West Lake,1256,J
West Paces Ferry/Northside,1218,A
Westview,3020,T
Westwood Terrace,733,I
Whittier Mill Village,617,D
Wildwood,1840,C
Wilson Mill Meadows,1096,H
Wisteria Gardens,512,H
